domain,vendor,category,evidence_file,false_positive_risk,tier,status,last_reviewed
a.clarity.ms,Microsoft Clarity,behavioral_analytics,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
api.eu.amplitude.com,Amplitude,product_analytics,evidence/initial-alpha.md,moderate,standard,approved,2026-08-25
api.segment.io,Twilio Segment,customer_data_analytics,evidence/third-alpha-batch.md,moderate,standard,approved,2026-08-26
api2.amplitude.com,Amplitude,product_analytics,evidence/initial-alpha.md,moderate,standard,approved,2026-08-25
b.clarity.ms,Microsoft Clarity,behavioral_analytics,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
bam-cell.nr-data.net,New Relic,browser_telemetry,evidence/second-alpha-batch.md,low-moderate,standard,approved,2026-08-25
bam.eu01.nr-data.net,New Relic,browser_telemetry,evidence/second-alpha-batch.md,low-moderate,standard,approved,2026-08-25
bam.nr-data.net,New Relic,browser_telemetry,evidence/second-alpha-batch.md,low-moderate,standard,approved,2026-08-25
browser-intake-ap1-datadoghq.com,Datadog,browser_observability,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
browser-intake-ap2-datadoghq.com,Datadog,browser_observability,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
browser-intake-datadoghq.com,Datadog,browser_observability,evidence/second-alpha-batch.md,moderate,standard,approved,2026-08-25
browser-intake-datadoghq.eu,Datadog,browser_observability,evidence/second-alpha-batch.md,moderate,standard,approved,2026-08-25
browser-intake-ddog-gov.com,Datadog,browser_observability,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
browser-intake-uk1-datadoghq.com,Datadog,browser_observability,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
browser-intake-us2-ddog-gov.com,Datadog,browser_observability,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
browser-intake-us3-datadoghq.com,Datadog,browser_observability,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
browser-intake-us5-datadoghq.com,Datadog,browser_observability,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
c.clarity.ms,Microsoft Clarity,behavioral_analytics,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
c.contentsquare.net,Contentsquare,behavioral_analytics,evidence/sixth-alpha-batch.md,moderate,standard,approved,2026-09-24
c.eu.heap-api.com,Heap,product_analytics,evidence/sixth-alpha-batch.md,low-moderate,standard,approved,2026-09-24
c.us.heap-api.com,Heap,product_analytics,evidence/sixth-alpha-batch.md,low-moderate,standard,approved,2026-09-24
cdn.eu.heap-api.com,Heap,product_analytics,evidence/sixth-alpha-batch.md,low-moderate,standard,approved,2026-09-24
cdn.heapanalytics.com,Heap,product_analytics,evidence/sixth-alpha-batch.md,low-moderate,standard,approved,2026-09-24
cdn.linkedin.oribi.io,LinkedIn,website_analytics,evidence/fifth-alpha-batch.md,moderate,standard,approved,2026-09-24
cdn.us.heap-api.com,Heap,product_analytics,evidence/sixth-alpha-batch.md,low-moderate,standard,approved,2026-09-24
cdn.usefathom.com,Fathom Analytics,web_analytics,evidence/eighth-alpha-batch.md,low-moderate,standard,approved,2026-09-24
cloudflareinsights.com,Cloudflare Web Analytics,web_analytics,evidence/sixth-alpha-batch.md,low-moderate,standard,approved,2026-09-24
csxd.contentsquare.net,Contentsquare,cross_domain_tracking,evidence/sixth-alpha-batch.md,moderate,standard,approved,2026-09-24
d.clarity.ms,Microsoft Clarity,behavioral_analytics,evidence/fourth-alpha-batch.md,moderate,standard,approved,2026-08-30
